image_source,product_name,product_category,price,skin_tone,lip_shape
https://imagesmfl.s3.amazonaws.com/lipstick_images/578.jpeg,Mousse Lip Cream O066 Release Me 4.5g,DAZZLE ME,RM17.90,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/579.jpeg,Dewy Ful Water Tint 12 Canyon,ROM&ND,RM59.00,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/580.jpeg,Timeless Matte Lipstick Fortune Pink TLP01,SIMPLYSITI,RM28.72,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/581.jpeg,16H 2in1 Longlasting Lip Colour No. 23,DERMACOL,RM49.90,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/582.jpeg,Matte Everlasting Extreme L/Creme 112 Earth 4ml,C.CODE,RM20.18,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/583.jpeg,Whoops! Matte Lip Cream C05 Call Me,BT'S,RM13.90,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/584.jpeg,MegaLast Lipstick Matte Mochalicious,WET N WILD,RM26.90,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/585.jpeg,Glasting Water Gloss 00 Meteor Track,ROM&ND,RM52.70,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/586.jpeg,Juicy Lasting Tint 25 Bare Grape,ROM&ND,RM62.00,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/587.jpeg,Zero Matte Lipstick 10 Pink Sand,ROM&ND,RM55.00,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/588.jpeg,Juicy Lasting Tint 10 Nudy Peanut,ROM&ND,RM62.00,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/589.jpeg,Juicy Lasting Tint 23 Nucadamia,ROM&ND,RM62.00,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/590.jpeg,CS Satin Ink Crown Jewels 031 Pink Duchess,REVLON,RM49.90,Medium,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/591.jpeg,Ink Velvet 17 Rosy Nude,PERIPERA,RM44.10,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/592.jpeg,Ink Velvet 25 Cinnamon Nude,PERIPERA,RM44.10,Dark,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/593.jpeg,Ultra HD Matte Florescence PN1 3.8g,C.CODE,RM23.71,Medium,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/594.jpeg,Ink Velvet 15 Beauty Peak Rose,PERIPERA,RM44.10,Dark,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/595.jpeg,Sensational Cushion Matte CM15 Pink Addiction,MAYBELLINE,RM23.94,Light,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/596.jpeg,Sensational Cushion Matte CM07 Lips On Pulse,MAYBELLINE,RM23.94,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/597.jpeg,Ink Mood Matte Tint 05 Ginger Red,PERIPERA,RM39.20,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/598.jpeg,Colorfit LAD Lip Paint 06 Infinite Coral 4.2g,WARDAH,RM13.95,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/599.jpeg,Colorfit LAD Lip Paint 08 Red Repeat 4.2g,WARDAH,RM13.95,Dark,Full
https://imagesmfl.s3.amazonaws.com/lipstick_images/600.jpeg,Colorfit LAD Lip Paint 03 Stick To Latte 4.2g,WARDAH,RM22.32,Light,Thin
https://imagesmfl.s3.amazonaws.com/lipstick_images/601.jpeg,Colorfit LAD Lip Paint 10 Forever Mauve 4.2g,WARDAH,RM13.95,Light,Normal
https://imagesmfl.s3.amazonaws.com/lipstick_images/602.jpeg,KATE LIP MONSTER 05 Dark Fig,KATE,RM61.83,Dark,Normal
